Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/learn-like-a-pro-science-based-tools-to-become-be-40292,Learn Like a Pro: Science-Based Tools to Become Better at Anything,/university/asu,Five out of five stars,189 reviews,"
            1-2 hours a week, 2 weeks long
          ",edx,personal-development
/course/edx-communicating-and-negotiating-in-a-dynamic-global-world-16918,Communicating and Negotiating in a Dynamic Global World,/institution/worldbank,Five out of five stars,18 reviews,"
            18-20 hours a week, 8 weeks long
          ",edx,personal-development
/course/edx-the-future-of-work-preparing-for-disruption-13702,The Future of Work: Preparing for Disruption,/university/utexas,Four and a half out of five stars,243 reviews,"
            3-5 hours a week, 5 weeks long
          ",edx,personal-development
/course/edx-happier-employees-and-return-on-investment-course-17121,Happier Employees and Return-On-Investment Course,/university/upv,Five out of five stars,34 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,personal-development
/course/edx-buscar-en-internet-2971,Buscar en Internet,/university/anahuac,Four and a half out of five stars,33 reviews,"
            3-4 hours a week, 7 weeks long
          ",edx,personal-development
/course/edx-ingles-basico-conversacional-y-networking-19170,Inglés básico: conversacional y networking,/university/galileo,Four and a half out of five stars,55 reviews,"
            5-8 hours a week, 4 weeks long
          ",edx,personal-development
/course/edx-diseno-de-estrategias-exitosas-y-acciones-incontenibles-4934,Diseño de Estrategias Exitosas y Acciones Incontenibles,/university/uam,Four and a half out of five stars,38 reviews,"
            2-4 hours a week, 4 weeks long
          ",edx,personal-development
/course/edx-competencias-para-buscar-mantener-y-promocionar-en-un-empleo-18073,"Competencias para buscar, mantener y promocionar en un empleo",/university/anahuac,Four and a half out of five stars,37 reviews,"
            3-5 hours a week, 4 weeks long
          ",edx,personal-development
/course/edx-ingles-empresarial-ventas-gestion-y-liderazgo-19171,"Inglés empresarial: ventas, gestión y liderazgo",/university/hkust,Four and a half out of five stars,102 reviews,"
            5-8 hours a week, 4 weeks long
          ",edx,personal-development
/course/edx-psychology-of-personal-growth-8857,Psychology of Personal Growth,/institution/catalyst,Four and a half out of five stars,65 reviews,"
            2-3 hours a week, 6 weeks long
          ",edx,personal-development
/course/edx-communication-skills-for-dialoguing-across-difference-7831,Communication Skills for Dialoguing Across Difference,/university/uw,Five out of five stars,5 reviews,"
            1-2 hours a week, 1 week long
          ",edx,personal-development
/course/edx-public-speaking-1482,Public Speaking,/university/ubc,Five out of five stars,5 reviews,"
            4-6 hours a week, 3 weeks long
          ",edx,personal-development
/course/edx-human-centered-design-for-work-at-a-distance-prototype-solutions-20364,Human-Centered Design for Work at a Distance: Prototype Solutions,/university/hkpolyu,Five out of five stars,3 reviews,"
            3-4 hours a week, 4 weeks long
          ",edx,personal-development
