Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/improving-study-techniques-13420,Improving Your Study Techniques,/university/rug,Five out of five stars,147 reviews,"
            2 hours a week, 4 weeks long
          ",futurelearn,personal-development
/course/interviews-2253,How to Succeed at: Interviews,/university/shef,Five out of five stars,452 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,personal-development
/course/complexity-and-uncertainty-2218,Decision Making in a Complex and Uncertain World,/university/rug,Five out of five stars,42 reviews,"
            6 hours a week, 6 weeks long
          ",futurelearn,personal-development
/course/critical-thinking-at-university-12273,Critical Thinking at University: An Introduction,/university/leeds,Five out of five stars,142 reviews,"
            4 hours a week, 2 weeks long
          ",futurelearn,personal-development
/course/logical-and-critical-thinking-3715,Logical and Critical Thinking,/university/auckland,Four and a half out of five stars,14 reviews,"
            4 hours a week, 8 weeks long
          ",futurelearn,personal-development
/course/psychological-first-aid-covid-19-20212,COVID-19: Psychological First Aid,/institution/public-health-england,Four and a half out of five stars,3898 ratings at FutureLearn,"
            1 hour a week, 3 weeks long
          ",futurelearn,personal-development
/course/decision-making-how-to-choose-the-right-problem-t-17486,Decision Making: How to Choose the Right Problem to Solve,/university/leeds,Four and a half out of five stars,230 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,personal-development
/course/blended-learning-digital-skills-8784,Blended Learning Essentials: Developing Digital Skills,/university/leeds,Four and a half out of five stars,49 ratings at FutureLearn,"
            4 hours a week, 2 weeks long
          ",futurelearn,personal-development
/course/communication-and-interpersonal-skills-at-work-17495,Communication and Interpersonal Skills at Work,/university/leeds,Four and a half out of five stars,13 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,personal-development
/course/wellbeing-and-resilience-at-work-17484,Wellbeing and Resilience at Work,/university/leeds,Four and a half out of five stars,453 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,personal-development
/course/collaborative-working-in-a-remote-team-17494,Collaborative Working in a Remote Team,/university/leeds,Four and a half out of five stars,419 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,personal-development
/course/digital-skills-digital-marketing-9778,Digital Skills: Digital Marketing,/institution/accenture,Four and a half out of five stars,5 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,personal-development
/course/create-a-professional-online-presence-17491,Create a Professional Online Presence,/university/leeds,Four and a half out of five stars,358 ratings at FutureLearn,"
            2 hours a week
          ",futurelearn,personal-development
/course/communicating-with-diverse-audiences2-17119,Communicating with Diverse Audiences,/university/surrey,Four and a half out of five stars,58 ratings at FutureLearn,"
            3 hours a week, 4 weeks long
          ",futurelearn,personal-development
/course/preparing-for-teaching-12540,Preparing for Teaching,/university/manchester-metropolitan,Four and a half out of five stars,84 ratings at FutureLearn,"
            2 hours a week, 3 weeks long
          ",futurelearn,personal-development
/course/surviving-the-workplace-on-managing-stress-and-bu-43878,Workplace Wellbeing: How to Build Confidence and Manage Stress,/university/ltu,Four and a half out of five stars,85 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,personal-development
/course/digital-skills-for-work-and-life-9776,Digital Skills: Digital Skills for Work and Life,/institution/accenture,Four and a half out of five stars,881 ratings at FutureLearn,"
            1 hour a week, 2 weeks long
          ",futurelearn,personal-development
/course/essential-skills-for-your-career-development-17483,Essential Skills for Your Career Development,/university/leeds,Four and a half out of five stars,470 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,personal-development
/course/futurelearn-net-that-job-how-to-write-a-cv-online-5348,Net That Job: How to Write a CV Online,/university/glasgow,Five out of five stars,1 review,"
            4 hours a week, 3 weeks long
          ",futurelearn,personal-development
/course/natural-disaster-safety-10575,Be Ready: Staying Safe During Disasters,/institution/ifrc,Five out of five stars,1 review,"
            2 hours a week, 2 weeks long
          ",futurelearn,personal-development
/course/communicating-across-cultures-39287,Communicating across Cultures,/institution/british-council,Five out of five stars,202 ratings at FutureLearn,"
            4 hours a week, 3 weeks long
          ",futurelearn,personal-development
/course/professional-resilience-9356,Professional Resilience: Building Skills to Thrive at Work,/university/deakin,Five out of five stars,649 ratings at FutureLearn,"
            3 hours a week, 2 weeks long
          ",futurelearn,personal-development
